,Location,Truck,Start_Time,End_Time,Date
31,Wabash and Jackson,Doughnut Vault,06:53 AM,12:00 PM,2015-08-05
32,Wabash and Jackson,Flirty Cupcakes,02:00 PM,03:00 PM,2015-08-06
33,Willis Tower,Chicago Cupcake,02:15 PM,03:30 PM,2015-08-04
34,Willis Tower,Flirty Cupcakes,11:30 AM,01:15 PM,2015-08-04
35,Willis Tower,Eastman Egg,07:00 AM,10:00 AM,2015-08-05
36,Willis Tower,Flirty Cupcakes,04:30 PM,05:30 PM,2015-08-06
37,Willis Tower,Cupcakes for Courage,11:30 AM,01:30 PM,2015-08-07
38,Madison and Wacker,Beaver's Donuts,08:18 AM,10:00 AM,2015-08-04
39,Madison and Wacker,The More Mobile,12:03 PM,02:03 PM,2015-08-05
40,Madison and Wacker,Cupcakes for Courage,04:45 PM,05:45 PM,2015-08-06
41,Wacker and Adams,Pierogi Street,11:42 AM,01:42 PM,2015-08-03
42,Wacker and Adams,Naansense,11:17 AM,01:17 PM,2015-08-03
43,Wacker and Adams,Beaver's Donuts,08:00 AM,10:15 AM,2015-08-03
44,Wacker and Adams,Jack's Fork in the Road,11:00 AM,02:00 PM,2015-08-03
45,Wacker and Adams,Gino's Steak Truck,11:00 AM,02:00 PM,2015-08-03
46,Wacker and Adams,Da Pizza Dude,11:00 AM,02:00 PM,2015-08-03
47,Wacker and Adams,Southern Pitch,11:00 AM,02:00 PM,2015-08-03
48,Wacker and Adams,Aztec Daves,11:00 AM,02:00 PM,2015-08-03
49,Wacker and Adams,The Jibarito Stop,11:30 AM,02:00 PM,2015-08-03
50,Wacker and Adams,Bruges Brothers,11:00 AM,02:00 PM,2015-08-03
51,Wacker and Adams,5411 Empanadas,11:28 AM,01:30 PM,2015-08-03
52,Wacker and Adams,Da Lobsta,11:00 AM,01:00 PM,2015-08-03
53,Wacker and Adams,Mediterranean Express,11:00 AM,02:00 PM,2015-08-03
54,Wacker and Adams,Mediterranean Express,11:00 AM,02:00 PM,2015-08-04
55,Wacker and Adams,Loop Juice,07:15 AM,01:30 PM,2015-08-04
56,Wacker and Adams,Da Pizza Dude,11:00 AM,02:00 PM,2015-08-04
57,Wacker and Adams,Blue Street Market,06:53 AM,01:53 PM,2015-08-04
58,Wacker and Adams,Aztec Daves,11:00 AM,02:00 PM,2015-08-04
59,Wacker and Adams,Tamale Spaceship,11:31 AM,01:31 PM,2015-08-04
60,Wacker and Adams,Southern Pitch,11:00 AM,02:00 PM,2015-08-04
61,Wacker and Adams,Chicago Cupcake,08:30 AM,01:25 PM,2015-08-04
62,Wacker and Adams,Gino's Steak Truck,11:00 AM,02:00 PM,2015-08-04
63,Wacker and Adams,Chicago Pizza Boss,11:00 AM,02:00 PM,2015-08-04
64,Wacker and Adams,Cheesies Truck,10:41 AM,02:00 PM,2015-08-04
65,Wacker and Adams,Yum Dum Truck,11:00 AM,01:30 PM,2015-08-04
66,Wacker and Adams,PIKO Street Kitchen,10:36 AM,01:00 PM,2015-08-05
67,Wacker and Adams,Kate&Jan Hotdogs,11:00 AM,02:00 PM,2015-08-05
68,Wacker and Adams,Naansense,10:32 AM,01:00 PM,2015-08-05
69,Wacker and Adams,Blue Street Market,11:00 AM,01:00 PM,2015-08-05
70,Wacker and Adams,Loop Juice,07:15 AM,01:00 PM,2015-08-05
71,Wacker and Adams,Taquero Fusion,11:15 AM,01:30 PM,2015-08-05
72,Wacker and Adams,Cheesies Truck,11:00 AM,01:00 PM,2015-08-05
73,Wacker and Adams,Aztec Daves,11:00 AM,02:00 PM,2015-08-05
74,Wacker and Adams,Chicago Pizza Boss,11:00 AM,02:00 PM,2015-08-05
75,Wacker and Adams,Gino's Steak Truck,11:00 AM,01:00 PM,2015-08-05
76,Wacker and Adams,The Fat Shallot,11:00 AM,02:00 PM,2015-08-06
77,Wabash and Van Buren,Flirty Cupcakes,04:15 PM,05:45 PM,2015-08-04
78,Wabash and Van Buren,Cupcakes for Courage,02:30 PM,03:45 PM,2015-08-04
79,Wabash and Van Buren,Beaver's Donuts,08:01 AM,10:00 AM,2015-08-05
80,Michigan and Monroe,Firecakes Donuts,11:57 AM,01:57 PM,2015-08-02
81,Michigan and Monroe,Loop Juice,11:00 AM,01:00 PM,2015-08-03
82,Michigan and Monroe,Beaver's Donuts,11:08 AM,01:08 PM,2015-08-03
83,Michigan and Monroe,Beaver's Donuts,01:24 PM,03:24 PM,2015-08-04
84,Michigan and Monroe,Haute Sausage,11:40 AM,01:00 PM,2015-08-05
85,Franklin and Randolph,Chicago Cupcake,01:30 PM,02:15 PM,2015-08-04
86,30 E. Lake,Cupcakes for Courage,04:00 PM,05:30 PM,2015-08-04
87,Clinton and Madison,Chicago Cupcake,04:30 PM,05:45 PM,2015-08-04
88,Clinton and Madison,Chicago Pizza Boss,05:00 PM,08:00 PM,2015-08-04
89,Clinton and Madison,Flirty Cupcakes,11:30 AM,01:00 PM,2015-08-05
90,Clinton and Madison,Cupcakes for Courage,04:30 PM,05:30 PM,2015-08-07
91,Randolph and Columbus,Happy Lobster Truck,11:00 AM,02:00 PM,2015-08-05
92,Randolph and Columbus,Cupcakes for Courage,04:15 PM,05:30 PM,2015-08-05
93,Randolph and Columbus,The Slide Ride,11:19 AM,01:30 PM,2015-08-05
94,Hubbard and Wells,Döner Men,10:54 AM,01:30 PM,2015-08-05
95,450 N. Cityfront Plaza,Yum Dum Truck,11:00 AM,01:30 PM,2015-08-03
96,450 N. Cityfront Plaza,PIKO Street Kitchen,11:00 AM,01:30 PM,2015-08-04
97,450 N. Cityfront Plaza,Milts BBQ Truck,11:19 AM,01:19 PM,2015-08-05
98,450 N. Cityfront Plaza,The Jibarito Stop,10:31 AM,01:00 PM,2015-08-05
99,600 West Chicago Avenue,Döner Men,11:00 AM,02:00 PM,2015-08-04
100,600 West Chicago Avenue,Chicago Lunch Box,10:51 AM,01:00 PM,2015-08-04
101,600 West Chicago Avenue,Bombay Wraps,11:00 AM,02:00 PM,2015-08-04
102,600 West Chicago Avenue,Haute and Ready,10:33 AM,01:00 PM,2015-08-05
103,600 West Chicago Avenue,Bruges Brothers,11:00 AM,02:00 PM,2015-08-06
104,Rush Hospital,Cupcakes for Courage,11:34 AM,01:30 PM,2015-08-05
105,Southport and Addison,Beaver's Donuts,09:28 AM,11:28 AM,2015-08-02
106,Southport and Addison,Eastman Egg,09:00 AM,12:00 PM,2015-08-02
107,University of Chicago,PIKO Street Kitchen,11:00 AM,02:00 PM,2015-08-03
108,University of Chicago,La Boulangerie,11:00 AM,02:00 PM,2015-08-03
109,University of Chicago,Pierogi Street,11:00 AM,11:42 AM,2015-08-03
110,University of Chicago,Chicago Lunch Box,11:55 AM,01:55 PM,2015-08-03
111,University of Chicago,Caponies Express,11:00 AM,02:00 PM,2015-08-03
112,University of Chicago,Chicago's Finest,11:00 AM,02:00 PM,2015-08-03
113,University of Chicago,Döner Men,11:25 AM,01:25 PM,2015-08-03
114,University of Chicago,Mina's,11:00 AM,02:00 PM,2015-08-03
115,University of Chicago,Windy City Patty Wagon,11:18 AM,01:18 PM,2015-08-03
116,University of Chicago,Windy City Patty Wagon,11:13 AM,01:13 PM,2015-08-04
117,University of Chicago,Bob Cha Food Truck,10:46 AM,01:30 PM,2015-08-04
118,University of Chicago,Pierogi Street,12:15 PM,02:15 PM,2015-08-04
119,University of Chicago,Bruges Brothers,11:00 AM,02:00 PM,2015-08-04
120,University of Chicago,Tony's Kitchen & Co.,12:15 PM,02:15 PM,2015-08-04
121,University of Chicago,Chicago's Finest,11:13 AM,01:13 PM,2015-08-04
122,University of Chicago,La Boulangerie,12:15 PM,02:15 PM,2015-08-04
123,University of Chicago,The Fat Shallot,11:00 AM,02:00 PM,2015-08-04
124,University of Chicago,Tony's Kitchen & Co.,11:26 AM,01:26 PM,2015-08-05
125,University of Chicago,Yum Dum Truck,11:01 AM,01:01 PM,2015-08-05
126,University of Chicago,Mina's,11:26 AM,01:26 PM,2015-08-05
127,University of Chicago,Windy City Patty Wagon,11:26 AM,01:26 PM,2015-08-05
128,University of Chicago,La Boulangerie,11:26 AM,01:26 PM,2015-08-05
129,University of Chicago,Cupcakes for Courage,11:00 AM,01:30 PM,2015-08-06
130,University of Chicago,Flirty Cupcakes,11:30 AM,01:00 PM,2015-08-06
131,University of Chicago,Bruges Brothers,11:00 AM,02:00 PM,2015-08-07
132,Schaumburg Area,Best Truckin' BBQ,11:00 AM,01:30 PM,2015-08-04
133,Schaumburg Area,Toasty Cheese,06:30 PM,08:30 PM,2015-08-04
134,Schaumburg Area,Toasty Cheese,11:30 AM,01:30 PM,2015-08-05
135,Schaumburg Area,Toasty Cheese,11:00 AM,02:00 PM,2015-08-06
136,Schaumburg Area,Daniel's Raw Paleo,06:30 PM,07:30 PM,2015-08-06
137,Schaumburg Area,Toasty Cheese,05:00 PM,08:00 PM,2015-08-07
138,Schaumburg Area,Grill Chasers,05:00 PM,09:00 PM,2015-08-07
139,Schaumburg Area,Toasty Cheese,11:00 AM,02:00 PM,2015-08-07
140,Schaumburg Area,Baby Cakes,04:00 PM,09:00 PM,2015-08-07
141,Schaumburg Area,Toasty Cheese,11:30 AM,01:30 PM,2015-08-07
142,Schaumburg Area,Best Truckin' BBQ,04:00 PM,10:00 PM,2015-08-07
143,Schaumburg Area,Toasty Cheese,11:00 AM,02:00 PM,2015-08-08
144,Clark and Monroe,Happy Lobster Truck,11:00 AM,01:30 PM,2015-07-27
145,Clark and Monroe,Jack's Fork in the Road,11:00 AM,02:00 PM,2015-07-27
146,Clark and Monroe,Bob Cha Food Truck,10:39 AM,01:30 PM,2015-07-27
147,Clark and Monroe,Model Chef,11:00 AM,02:00 PM,2015-07-28
148,Clark and Monroe,Robinson's No.1 Ribs,11:00 AM,02:00 PM,2015-07-28
149,Clark and Monroe,The Jibarito Stop,10:42 AM,01:30 PM,2015-07-28
150,Clark and Monroe,Chicago's Finest,11:00 AM,02:00 PM,2015-07-28
151,Clark and Monroe,Gino's Steak Truck,11:00 AM,02:00 PM,2015-07-28
152,Clark and Monroe,Rosati's,11:00 AM,02:00 PM,2015-07-28
153,Clark and Monroe,La Cocinita,11:00 AM,02:00 PM,2015-07-28
154,Clark and Monroe,The Slide Ride,10:44 AM,01:30 PM,2015-07-29
155,Clark and Monroe,Auntie Vee's Cupcakes,08:55 AM,02:00 PM,2015-07-29
156,Clark and Monroe,Jerk,11:00 AM,02:00 PM,2015-07-29
157,Clark and Monroe,Robinson's No.1 Ribs,11:00 AM,02:00 PM,2015-07-29
158,Clark and Monroe,Chicago Cupcake,08:00 AM,02:00 PM,2015-07-29
159,Clark and Monroe,Tamale Spaceship,11:00 AM,01:00 PM,2015-07-29
160,Clark and Monroe,Chicago Lunch Box,11:18 AM,01:00 PM,2015-07-29
161,Clark and Monroe,Bob Cha Food Truck,10:41 AM,02:00 PM,2015-07-30
162,Clark and Monroe,Robinson's No.1 Ribs,11:00 AM,02:00 PM,2015-07-30
163,Clark and Monroe,Chicago's Finest,11:00 AM,01:30 PM,2015-07-30
164,Clark and Monroe,Happy Lobster Truck,11:00 AM,02:00 PM,2015-07-30
165,Clark and Monroe,Model Chef,11:00 AM,02:00 PM,2015-07-30
166,Clark and Monroe,Paris Ouh La La,11:00 AM,02:00 PM,2015-07-30
167,Clark and Monroe,Jack's Fork in the Road,11:00 AM,02:00 PM,2015-07-31
168,Clark and Monroe,The Slide Ride,11:13 AM,01:13 PM,2015-07-31
169,Clark and Monroe,Tamale Spaceship,11:27 AM,01:27 PM,2015-07-31
170,Clark and Monroe,Döner Men,11:00 AM,02:00 PM,2015-07-31
171,Clark and Monroe,Yum Dum Truck,11:00 AM,02:00 PM,2015-07-31
172,Clark and Monroe,Gobble Doggs,07:17 PM,09:17 PM,2015-07-31
173,Clark and Monroe,Flirty Cupcakes,01:53 PM,02:52 PM,2015-07-31
174,Clark and Monroe,Bob Cha Food Truck,10:39 AM,01:30 PM,2015-07-31
175,Clark and Monroe,Gobble Doggs,01:02 PM,03:02 PM,2015-07-31
176,Clark and Monroe,Pierogi Street,11:30 AM,01:30 PM,2015-07-31
177,Lasalle and Adams,Jerk,11:00 AM,02:00 PM,2015-07-27
178,Lasalle and Adams,Doughnut Vault,06:40 AM,10:23 AM,2015-07-27
179,Lasalle and Adams,Chicago Pizza Boss,11:00 AM,01:00 PM,2015-07-27
180,Lasalle and Adams,Cupcakes for Courage,01:30 PM,02:45 PM,2015-07-28
181,Lasalle and Adams,Firecakes Donuts,06:54 AM,01:54 PM,2015-07-28
182,Lasalle and Adams,Doughnut Vault,07:04 AM,09:56 AM,2015-07-28
183,Lasalle and Adams,Firecakes Donuts,07:04 AM,01:04 PM,2015-07-29
184,Lasalle and Adams,5411 Empanadas,10:38 AM,01:30 PM,2015-07-29
185,Lasalle and Adams,Doughnut Vault,06:51 AM,11:00 AM,2015-07-29
186,Lasalle and Adams,Chicago Cupcake,02:15 PM,03:00 PM,2015-07-29
187,Lasalle and Adams,Firecakes Donuts,07:03 AM,10:58 AM,2015-07-30
188,Lasalle and Adams,Cupcakes for Courage,03:30 PM,04:30 PM,2015-07-30
189,Lasalle and Adams,Doughnut Vault,06:57 AM,01:57 PM,2015-07-30
190,Lasalle and Adams,Harold's Chicken Shack,11:00 AM,02:00 PM,2015-07-30
191,Lasalle and Adams,Flirty Cupcakes,04:16 PM,05:54 PM,2015-07-31
192,Lasalle and Adams,La Cocinita,07:57 AM,01:30 PM,2015-07-31
193,Clark and Washington,Haute Sausage,11:29 AM,01:29 PM,2015-07-29
194,Daley Plaza,Gino's Steak Truck,11:00 AM,02:00 PM,2015-07-29
195,Daley Plaza,Flirty Cupcakes,11:00 AM,02:00 PM,2015-07-29
196,Daley Plaza,Chicago Pizza Boss,11:00 AM,02:00 PM,2015-07-29
197,Daley Plaza,Blue Street Market,11:00 AM,02:00 PM,2015-07-29
198,Daley Plaza,Yum Dum Truck,11:00 AM,02:00 PM,2015-07-29
199,Daley Plaza,Pierogi Street,11:00 AM,02:00 PM,2015-07-29
200,Daley Plaza,Southern Pitch,11:00 AM,02:00 PM,2015-07-29
201,Daley Plaza,Bruges Brothers,11:00 AM,02:00 PM,2015-07-29
202,Daley Plaza,Haute Sausage,11:00 AM,11:29 AM,2015-07-29
203,Daley Plaza,The Fat Shallot,11:00 AM,02:00 PM,2015-07-29
204,Wabash and Jackson,Firecakes Donuts,05:01 PM,07:01 PM,2015-07-26
205,Wabash and Jackson,Chicago Cupcake,03:00 PM,04:49 PM,2015-07-29
206,Wabash and Jackson,The Jibarito Stop,11:15 AM,01:30 PM,2015-07-30
207,Wabash and Jackson,Flirty Cupcakes,01:00 PM,02:03 PM,2015-07-30
208,Wabash and Jackson,Flirty Cupcakes,12:00 PM,12:45 PM,2015-07-30
209,Wabash and Jackson,Doughnut Vault,06:48 AM,01:35 PM,2015-07-31
210,Wabash and Jackson,Chicago Cupcake,03:50 PM,04:25 PM,2015-07-31
211,Willis Tower,Chicago Cupcake,02:15 PM,03:30 PM,2015-07-28
212,Willis Tower,The More Mobile,11:39 AM,01:39 PM,2015-07-29
213,Willis Tower,Eastman Egg,10:02 AM,11:00 AM,2015-07-29
214,Willis Tower,Eastman Egg,07:00 AM,10:00 AM,2015-07-29
215,Willis Tower,Flirty Cupcakes,04:22 PM,06:20 PM,2015-07-29
216,Willis Tower,Flirty Cupcakes,04:30 PM,06:12 PM,2015-07-30
217,Willis Tower,Cupcakes for Courage,11:30 AM,11:51 AM,2015-07-31
218,Madison and Wacker,Beaver's Donuts,07:49 AM,10:00 AM,2015-07-28
219,Madison and Wacker,Cupcakes for Courage,11:30 AM,01:15 PM,2015-07-28
220,Madison and Wacker,Beaver's Donuts,07:00 AM,10:00 AM,2015-07-30
221,Madison and Wacker,Flirty Cupcakes,03:03 PM,04:15 PM,2015-07-30
222,Madison and Wacker,Cupcakes for Courage,04:45 PM,05:45 PM,2015-07-30
223,Madison and Wacker,Cupcakes for Courage,04:30 PM,06:20 PM,2015-07-31
224,Madison and Wacker,Beaver's Donuts,07:46 AM,10:00 AM,2015-07-31
225,Wacker and Adams,Beaver's Donuts,07:50 AM,10:00 AM,2015-07-27
226,Wacker and Adams,Naansense,11:03 AM,01:03 PM,2015-07-27
227,Wacker and Adams,Auntie Vee's Cupcakes,11:09 AM,02:00 PM,2015-07-27
228,Wacker and Adams,Bruges Brothers,11:00 AM,01:30 PM,2015-07-27
229,Wacker and Adams,La Cocinita,11:35 AM,01:35 PM,2015-07-27
230,Wacker and Adams,Getta Polpetta,11:00 AM,01:30 PM,2015-07-27
231,Wacker and Adams,Blue Street Market,07:27 AM,01:27 PM,2015-07-27
232,Wacker and Adams,Chicago Cupcake,10:51 AM,02:00 PM,2015-07-27
233,Wacker and Adams,Chicago Cupcake,08:30 AM,01:25 PM,2015-07-28
234,Wacker and Adams,Tamale Spaceship,11:39 AM,01:39 PM,2015-07-28
235,Wacker and Adams,Chicago Pizza Boss,11:00 AM,01:00 PM,2015-07-28
236,Wacker and Adams,Aztec Daves,11:00 AM,02:00 PM,2015-07-28
237,Wacker and Adams,Tamale Spaceship,11:00 AM,11:29 AM,2015-07-28
238,Wacker and Adams,Jack's Fork in the Road,01:05 PM,03:05 PM,2015-07-28
239,Wacker and Adams,Pierogi Street,11:00 AM,01:30 PM,2015-07-28
240,Wacker and Adams,Naansense,12:03 PM,02:03 PM,2015-07-28
241,Wacker and Adams,The Slide Ride,11:00 AM,01:10 PM,2015-07-28
242,Wacker and Adams,Da Pizza Dude,11:00 AM,02:00 PM,2015-07-28
243,Wacker and Adams,Aztec Daves,11:00 AM,02:00 PM,2015-07-29
244,Wacker and Adams,Happy Lobster Truck,11:00 AM,02:00 PM,2015-07-29
245,Wacker and Adams,La Cocinita,11:30 AM,02:00 PM,2015-07-29
246,Wacker and Adams,Döner Men,11:00 AM,01:30 PM,2015-07-29
247,Wacker and Adams,Da Pizza Dude,11:00 AM,02:00 PM,2015-07-29
248,Wacker and Adams,Cupcakes for Courage,01:36 PM,02:45 PM,2015-07-29
249,Wacker and Adams,Naansense,10:54 AM,01:00 PM,2015-07-29
250,Wacker and Adams,The Fat Shallot,11:00 AM,02:00 PM,2015-07-30
251,Wacker and Adams,Getta Polpetta,11:00 AM,02:00 PM,2015-07-30
252,Wacker and Adams,Chicago Cupcake,08:20 AM,02:00 PM,2015-07-30
253,Wacker and Adams,Naansense,11:06 AM,01:06 PM,2015-07-30
254,Wacker and Adams,Tamale Spaceship,11:00 AM,01:30 PM,2015-07-30
255,Wacker and Adams,Jack's Fork in the Road,11:00 AM,02:00 PM,2015-07-30
256,Wacker and Adams,Da Pizza Dude,11:00 AM,02:00 PM,2015-07-30
257,Wacker and Adams,Pierogi Street,11:00 AM,01:45 PM,2015-07-30
258,Wacker and Adams,Cheesies Truck,11:00 AM,02:00 PM,2015-07-30
259,Wacker and Adams,Aztec Daves,11:00 AM,02:00 PM,2015-07-30
260,Wacker and Adams,Cupcakes for Courage,11:26 AM,01:26 PM,2015-07-30
261,Wacker and Adams,Aztec Daves,11:00 AM,02:00 PM,2015-07-31
262,Wacker and Adams,Taquero Fusion,10:51 AM,01:00 PM,2015-07-31
263,Wacker and Adams,Chicago Cupcake,09:30 AM,01:40 PM,2015-07-31
264,Wacker and Adams,5411 Empanadas,11:01 AM,01:30 PM,2015-07-31
265,Wacker and Adams,Southern Pitch,11:00 AM,02:00 PM,2015-07-31
266,Wacker and Adams,Cupcakes for Courage,11:51 AM,01:13 PM,2015-07-31
267,Wacker and Adams,Happy Lobster Truck,11:00 AM,02:00 PM,2015-07-31
268,Wabash and Van Buren,Cupcakes for Courage,03:00 PM,04:30 PM,2015-07-28
269,Wabash and Van Buren,Beaver's Donuts,07:43 AM,10:00 AM,2015-07-29
270,Wabash and Van Buren,Chicago Cupcake,04:49 PM,06:00 PM,2015-07-29
271,Wabash and Van Buren,Chicago Cupcake,04:34 PM,05:30 PM,2015-07-31
272,Michigan and Monroe,Haute Sausage,10:53 AM,01:00 PM,2015-07-27
273,Michigan and Monroe,Beaver's Donuts,11:27 AM,01:27 PM,2015-07-27
274,Michigan and Monroe,Haute Sausage,12:55 PM,02:55 PM,2015-07-28
275,Michigan and Monroe,Beaver's Donuts,04:06 PM,06:30 PM,2015-07-28
276,Michigan and Monroe,Gino's Steak Truck,07:30 PM,09:30 PM,2015-07-29
277,Michigan and Monroe,Firecakes Donuts,04:38 PM,06:38 PM,2015-07-29
278,Michigan and Monroe,Firecakes Donuts,02:57 PM,04:57 PM,2015-07-30
279,Michigan and Monroe,Milts BBQ Truck,11:00 AM,01:30 PM,2015-07-30
280,Michigan and Monroe,Beaver's Donuts,12:17 PM,02:17 PM,2015-07-31
281,Michigan and Monroe,The More Mobile,11:25 AM,01:25 PM,2015-07-31
282,Michigan and Monroe,Gino's Steak Truck,09:30 PM,11:30 PM,2015-08-01
283,Michigan and Monroe,Firecakes Donuts,09:50 AM,01:50 PM,2015-08-01
284,Franklin and Randolph,The Jibarito Stop,11:30 AM,01:30 PM,2015-07-27
285,Franklin and Randolph,Chicago Cupcake,01:30 PM,02:15 PM,2015-07-28
286,Clinton and Madison,Chicago Cupcake,04:30 PM,05:47 PM,2015-07-28
287,Randolph and Columbus,Southern Pitch,02:41 PM,03:00 PM,2015-07-27
288,Randolph and Columbus,Milts BBQ Truck,11:00 AM,01:30 PM,2015-07-27
289,Randolph and Columbus,5411 Empanadas,10:48 AM,01:19 PM,2015-07-28
290,Randolph and Columbus,Happy Lobster Truck,11:00 AM,02:00 PM,2015-07-28
291,Randolph and Columbus,Cupcakes for Courage,02:59 PM,04:15 PM,2015-07-29
292,Randolph and Columbus,PIKO Street Kitchen,11:00 AM,01:30 PM,2015-07-30
293,Randolph and Columbus,Haute Sausage,10:49 AM,01:00 PM,2015-07-30
294,Randolph and Columbus,The Slide Ride,11:00 AM,01:30 PM,2015-07-30
295,Randolph and Columbus,Da Lobsta,11:00 AM,01:00 PM,2015-07-31
296,Hubbard and Wells,Husky Hog BBQ,12:50 PM,02:50 PM,2015-07-31
297,Hubbard and Wells,The Fat Shallot,11:00 AM,02:00 PM,2015-07-31
298,Hubbard and Wells,Husky Hog BBQ,11:00 AM,11:55 AM,2015-07-31
299,450 N. Cityfront Plaza,PIKO Street Kitchen,11:08 AM,01:08 PM,2015-07-28
300,450 N. Cityfront Plaza,Jerk,11:00 AM,02:00 PM,2015-07-28
301,450 N. Cityfront Plaza,Milts BBQ Truck,11:43 AM,01:43 PM,2015-07-29
302,450 N. Cityfront Plaza,The Jibarito Stop,11:30 AM,01:30 PM,2015-07-29
303,450 N. Cityfront Plaza,The More Mobile,11:43 AM,01:43 PM,2015-07-30
304,Sangamon and Monroe,Doughnut Vault,04:58 PM,06:58 PM,2015-07-31
305,Sangamon and Monroe,Beaver's Donuts,12:08 PM,01:00 PM,2015-08-01
306,600 West Chicago Avenue,Haute and Ready,11:00 AM,01:30 PM,2015-07-27
307,600 West Chicago Avenue,Döner Men,10:59 AM,02:00 PM,2015-07-28
308,600 West Chicago Avenue,Haute and Ready,10:47 AM,01:00 PM,2015-07-29
309,600 West Chicago Avenue,Caponies Express,12:02 PM,02:02 PM,2015-07-29
310,600 West Chicago Avenue,Wow Bao,11:12 AM,01:12 PM,2015-07-29
311,600 West Chicago Avenue,Bruges Brothers,11:00 AM,01:30 PM,2015-07-30
312,600 West Chicago Avenue,Haute and Ready,11:30 AM,01:30 PM,2015-07-31
313,Rush Hospital,Cupcakes for Courage,11:00 AM,01:00 PM,2015-07-29
314,Southport and Addison,Firecakes Donuts,08:06 AM,01:06 PM,2015-07-26
315,Southport and Addison,Doughnut Vault,07:05 AM,01:05 PM,2015-07-26
316,University of Chicago,La Boulangerie,11:40 AM,01:40 PM,2015-07-27
317,University of Chicago,Mina's,11:40 AM,01:40 PM,2015-07-27
318,University of Chicago,Chicago Lunch Box,11:06 AM,01:00 PM,2015-07-27
319,University of Chicago,Chicago's Finest,11:00 AM,01:00 PM,2015-07-27
320,University of Chicago,Döner Men,10:38 AM,02:00 PM,2015-07-27
321,University of Chicago,Pierogi Street,11:00 AM,01:42 PM,2015-07-27
322,University of Chicago,PIKO Street Kitchen,10:31 AM,01:00 PM,2015-07-27
323,University of Chicago,Windy City Patty Wagon,11:02 AM,01:00 PM,2015-07-28
324,University of Chicago,Caponies Express,11:17 AM,01:17 PM,2015-07-28
325,University of Chicago,Mina's,11:55 AM,01:55 PM,2015-07-28
326,University of Chicago,Eleaven Food Co.,11:55 AM,01:55 PM,2015-07-28
327,University of Chicago,Bruges Brothers,11:00 AM,01:30 PM,2015-07-28
328,University of Chicago,Bob Cha Food Truck,10:49 AM,01:30 PM,2015-07-28
329,University of Chicago,Haute and Ready,10:41 AM,01:00 PM,2015-07-28
330,University of Chicago,Auntie Vee's Cupcakes,11:04 AM,02:00 PM,2015-07-28
331,University of Chicago,Wow Bao,11:30 AM,01:30 PM,2015-07-28
332,University of Chicago,La Boulangerie,11:55 AM,01:55 PM,2015-07-28
333,University of Chicago,The Fat Shallot,11:00 AM,02:00 PM,2015-07-28
334,University of Chicago,Tony's Kitchen & Co.,11:00 AM,01:00 PM,2015-07-29
